id,title,title_slug,difficulty,likes,dislikes,ratio
1129,Longest String Chain,longest-string-chain,medium,5478,214,25.598130841121495
1029,Vertical Order Traversal of a Binary Tree,vertical-order-traversal-of-a-binary-tree,hard,5456,3996,1.3653653653653655
724,Find Pivot Index,find-pivot-index,easy,5427,571,9.504378283712784
43,Multiply Strings,multiply-strings,medium,5420,2351,2.3054019566142068
205,Isomorphic Strings,isomorphic-strings,easy,5419,1022,5.302348336594912
1371,Minimum Remove to Make Valid Parentheses,minimum-remove-to-make-valid-parentheses,medium,5418,101,53.64356435643565
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,medium,5394,125,43.152
125,Valid Palindrome,valid-palindrome,easy,5376,6298,0.853604318831375
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,medium,5369,801,6.702871410736579
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,easy,5365,145,37.0
653,Two Sum IV - Input is a BST,two-sum-iv-input-is-a-bst,easy,5363,233,23.01716738197425
289,Game of Life,game-of-life,medium,5340,469,11.385927505330491
77,Combinations,combinations,medium,5339,166,32.16265060240964
1025,Minimum Cost For Tickets,minimum-cost-for-tickets,medium,5323,91,58.494505494505496
377,Combination Sum IV,combination-sum-iv,medium,5318,552,9.634057971014492
1603,Running Sum of 1d Array,running-sum-of-1d-array,easy,5301,270,19.633333333333333
69,Sqrt(x),sqrtx,easy,5296,3690,1.435230352303523
813,All Paths From Source to Target,all-paths-from-source-to-target,medium,5249,125,41.992
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,easy,5244,159,32.9811320754717
456,132 Pattern,132-pattern,medium,5222,297,17.58249158249158
301,Remove Invalid Parentheses,remove-invalid-parentheses,hard,5200,256,20.3125
218,The Skyline Problem,the-skyline-problem,hard,5189,240,21.620833333333334
463,Island Perimeter,island-perimeter,easy,5167,259,19.94980694980695
257,Binary Tree Paths,binary-tree-paths,easy,5165,221,23.3710407239819
669,Trim a Binary Search Tree,trim-a-binary-search-tree,medium,5156,245,21.044897959183672
451,Sort Characters By Frequency,sort-characters-by-frequency,medium,5155,201,25.64676616915423
1128,Remove All Adjacent Duplicates In String,remove-all-adjacent-duplicates-in-string,easy,5145,203,25.344827586206897
665,Non-decreasing Array,non-decreasing-array,medium,5133,743,6.908479138627187
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,medium,5105,94,54.308510638297875
435,Non-overlapping Intervals,non-overlapping-intervals,medium,5102,142,35.929577464788736
227,Basic Calculator II,basic-calculator-ii,medium,5085,650,7.823076923076923
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,easy,5077,1040,4.881730769230769
151,Reverse Words in a String,reverse-words-in-a-string,medium,5066,4417,1.1469323069956985
721,Accounts Merge,accounts-merge,medium,5029,871,5.77382319173364
60,Permutation Sequence,permutation-sequence,hard,5018,425,11.807058823529411
1300,Critical Connections in a Network,critical-connections-in-a-network,hard,5003,167,29.95808383233533
117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,medium,4968,291,17.072164948453608
86,Partition List,partition-list,medium,4968,590,8.420338983050847
224,Basic Calculator,basic-calculator,hard,4952,373,13.276139410187668
137,Single Number II,single-number-ii,medium,4946,520,9.511538461538462
126,Word Ladder II,word-ladder-ii,hard,4928,632,7.7974683544303796
264,Ugly Number II,ugly-number-ii,medium,4923,244,20.17622950819672
135,Candy,candy,hard,4906,327,15.003058103975535
12,Integer to Roman,integer-to-roman,medium,4890,4855,1.007209062821833
